Max. Equipment Designation,Absolute ceiling,Best glide ratio,Cruising altitude,Cruising speed,Endurance,Fuel with max payload,Gross wing area,"Ground clearance, fuselage","Height, alternate configuration","Height, fuselage","Height, overall",Landing run,"Length, alternate configuration","Length, fuselage","Length, overall",Loitering speed,Max T-O weight,Max certified altitude,Max fuel weight,Max launch weight,Max level speed,Max operating speed,Max payload,Never-exceed speed,Operating altitude,"Operating weight, empty",Payload with max fuel,Propeller diameter,Radius of operation,Range,Rate of climb,Service ceiling,Stalling speed,T-O run,T-O speed,Tailplane span,Weapons bay volume,Weight empty,"Weight empty, equipped","Width, fuselage","Width, overall",Wing aspect ratio,Wing span,g limits
421-16E5 HD,,,,,6 hr 0 min,,,,,,,,,,,,29.5 kg (65 lb),,,,"60 kt (111 km/h, 69 mph) 60 kt (111 km/h, 69 mph)",,5 kg (11 lb),,"5,000 m (16,405 ft) (maximum) 500 m (1,640 ft) (minimum)",,,,"150 km (81 nm, 93.2 mi) 150 km (81 nm, 93.2 mi)",,,"5,000 m (16,405 ft)",,,,,,,,,,,5.3 m (17 ft 4 3/4 in) 5.3 m (17 ft 4 3/4 in),
A-3 Remez,,,,"31.3 kt (58 km/h, 36 mph) 31.3 kt (58 km/h, 36 mph) 31.3 kt (58 km/h, 36 mph) 31.3 kt (58 km/h, 36 mph)",2 hr 2 hr,,0.48 m² (5.17 sq ft) 0.48 m² (5.17 sq ft),,,,,,,,780 mm (2 ft 6 3/4 in) 780 mm (2 ft 6 3/4 in) 780 mm (2 ft 6 3/4 in) 780 mm (2 ft 6 3/4 in),,10.0 kg (22 lb) 10.0 kg (22 lb),,1.5 kg (3 lb 5 oz) 1.5 kg (3 lb 5 oz),,"56.7 kt (105 km/h, 65.2 mph) 56.7 kt (105 km/h, 65.2 mph) 56.7 kt (105 km/h, 65.2 mph) 56.7 kt (105 km/h, 65.2 mph)",,3.0 kg (6 lb 9 3/4 oz) 3.0 kg (6 lb 9 3/4 oz),,,,,,"5 km (2.7 nm, 3.11 mi) (typical) 5 km (2.7 nm, 3.11 mi) (typical) 20 km (10.8 nm, 12.4 mi) (maximum) 20 km (10.8 nm, 12.4 mi) (maximum) 5 km (2.7 nm, 3.11 mi) (typical) 5 km (2.7 nm, 3.11 mi) (typical) 20 km (10.8 nm, 12.4 mi) (maximum) 20 km (10.8 nm, 12.4 mi) (maximum)",,,,,,,,,,,,,8.3 8.3,2.00 m (6 ft 6 3/4 in) 2.00 m (6 ft 6 3/4 in) 2.00 m (6 ft 6 3/4 in) 2.00 m (6 ft 6 3/4 in),
A1-S,,,,"35.1 kt (65 km/h, 40.4 mph) 35.1 kt (65 km/h, 40.4 mph)",3 hr 0 min,,,,,,,,,,900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,5.5 kg (12 lb),,,,"54 kt (100 km/h, 62.1 mph) 54 kt (100 km/h, 62.1 mph)",,,,80 m (262 ft) (Min; cruising),,,,,"50 km (27 nm, 31.1 mi) (minimum, real-time imagery link) 50 km (27 nm, 31.1 mi) (minimum, real-time imagery link) 200 km (108 nm, 124 mi) (maximum, AV) 200 km (108 nm, 124 mi) (maximum, AV)",,"2,500 m (8,200 ft)",,,,,,,,,,,2 m (6 ft 6 3/4 in) 2 m (6 ft 6 3/4 in),
A1-SM,,,,"35.1 kt (65 km/h, 40.4 mph) 35.1 kt (65 km/h, 40.4 mph)",3 hr 0 min,,,,,,,,,,900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,5.5 kg (12 lb),,,,"54 kt (100 km/h, 62.1 mph) 54 kt (100 km/h, 62.1 mph)",,,,80 m (262 ft) (Min; cruising),,,,,"50 km (27 nm, 31.1 mi) (minimum, real-time imagery link) 50 km (27 nm, 31.1 mi) (minimum, real-time imagery link) 200 km (108 nm, 124 mi) (maximum, AV) 200 km (108 nm, 124 mi) (maximum, AV)",,"2,500 m (8,200 ft)",,,,,,,,,,,2 m (6 ft 6 3/4 in),
ACS-3,"4,500 m (14,765 ft)",,,"59.4 kt (110 km/h, 68.4 mph) 59.4 kt (110 km/h, 68.4 mph)","18 hr 0 min (min, max payload) 28 hr 0 min (max)",,0.9 m² (9.69 sq ft),,,,320 mm (1 ft 1/2 in) 320 mm (1 ft 1/2 in),,,,1.83 m (6 ft) 1.83 m (6 ft),,20 kg (44 lb),,,,"75.6 kt (140 km/h, 87 mph) 75.6 kt (140 km/h, 87 mph)",,7 kg (15 lb),,,,,,"100 km (54 nm, 62.1 mi) (high-definition video transmission) 100 km (54 nm, 62.1 mi) (high-definition video transmission) 120 km (64.8 nm, 74.6 mi) (telemetry with video, direct control mode) 120 km (64.8 nm, 74.6 mi) (telemetry with video, direct control mode)","2,500 km (1,350 nm, 1,555 mi) (max, automatic flight mode) 2,500 km (1,350 nm, 1,555 mi) (max, automatic flight mode)",,"3,500 m (11,485 ft)","43.2 kt (80 km/h, 49.7 mph)",,,,,11 kg (24 lb),,,,,2.96 m (9 ft 8 1/2 in) 2.96 m (9 ft 8 1/2 in),
ALBA,,,"1,500 m (4,920 ft) 1,500 m (4,920 ft)",,1 hr 0 min 1 hr 0 min,,,,,,,,,,1.80 m (5 ft 10 3/4 in) 1.80 m (5 ft 10 3/4 in),"76 kt (141 km/h, 87.5 mph) 76 kt (141 km/h, 87.5 mph)",25 kg (55 lb) 25 kg (55 lb),,,,,,3 kg (6 lb 9 3/4 oz) (internal) 3 kg (6 lb 9 3/4 oz) (internal),"162 kt (300 km/h, 186 mph) 162 kt (300 km/h, 186 mph)",,,,,"60 km (32.4 nm, 37.2 mi) 60 km (32.4 nm, 37.2 mi) 60 km (32.4 nm, 37.2 mi) 60 km (32.4 nm, 37.2 mi)",,,,"54 kt (100 km/h, 62.2 mph) 54 kt (100 km/h, 62.2 mph)",,,,,,12 kg (26 lb) 12 kg (26 lb),,,,2.23 m (7 ft 3 3/4 in) 2.23 m (7 ft 3 3/4 in),
ALBA Plus,,,"1,500 m (4,920 ft) 1,500 m (4,920 ft)",,1 hr 30 min 1 hr 30 min,,,,,,,,,,1.80 m (5 ft 10 3/4 in) 1.80 m (5 ft 10 3/4 in) 1.80 m (5 ft 10 3/4 in) 1.80 m (5 ft 10 3/4 in),,30 kg (66 lb) 30 kg (66 lb),,,,,,5 kg (11 lb) (internal) 5 kg (11 lb) (internal),"146.7 kt (271 km/h, 168 mph) 146.7 kt (271 km/h, 168 mph)",,,,,"60 km (32.4 nm, 37.2 mi) 60 km (32.4 nm, 37.2 mi) 60 km (32.4 nm, 37.2 mi) 60 km (32.4 nm, 37.2 mi)",,,,,,,,,,,,,,2.23 m (7 ft 3 3/4 in) 2.23 m (7 ft 3 3/4 in) 2.23 m (7 ft 3 3/4 in) 2.23 m (7 ft 3 3/4 in),
ALIACA ER,,,,"35 kt (64.8 km/h, 40.3 mph) (typical) 52 kt (96.3 km/h, 59.8 mph) (max)",6 hr 0 min,,,,,,,,,,2.2 m (7 ft 2 1/2 in),,16 kg (35 lb),,,,,,1.1 kg (2 lb 6 3/4 oz),,150 m (492 ft) (cruising),,,,,"100 km (54  nm, 62.1 mi)",,"3,000 m (9,845 ft) (above mean sea level)",,,,,,,,,,,3.6 m (11 ft 9 3/4 in),
ALIACA EVO,,,,"35 kt (64.8 km/h, 40.3 mph) (typical) 52 kt (96.3 km/h, 59.8 mph) (max)",3 hr 0 min,,,,,,,,,,1.85 m (6 ft 3/4 in),,12 kg (26 lb),,,,,,1.1 kg (2 lb 6 3/4 oz),,150 m (492 ft) (cruising),,,,,"50 km (27 nm, 31.1 mi) (max)",,"3,000 m (9,845 ft) (above mean sea level)",,,,,,,,,,,3 m (9 ft 10 in),
ALTIUS-600,,,,"60 kt (111 km/h, 69 mph) 60 kt (111 km/h, 69 mph)",4 hr 0 min (typical),,,,,,,,,,1.02 m (3 ft 4 1/4 in) 1.02 m (3 ft 4 1/4 in),,12.25 kg (27 lb),,,,,,3.2 kg (7 lb 1 oz),,,,,,,"440 km (237.6 nm, 273 mi) 440 km (237.6 nm, 273 mi)",,,,,,,,,,,150 mm (6 in) 150 mm (6 in),,2.54 m (8 ft 4 in) 2.54 m (8 ft 4 in),
AQUILA,,,,"40.8 kt (75.6 km/h, 47 mph)",2 hr 0 min,,,,,,860 mm (2 ft 9 3/4 in),,,,1.4 m (4 ft 7 in),,12 kg (26 lb),,,,,"58.3 kt (108 km/h, 67.1 mph)",,,"4,500 m (14,765 ft) (ASL)",,,,,,,,,,,,,8.5 kg (19 lb),,,,,2.6 m (8 ft 6 1/4 in),
AR1 Blue Ray,,,,"29.7 kt (55 km/h, 34.2 mph) 29.7 kt (55 km/h, 34.2 mph)",2 hr (typical) 3 hr,,,,,,,,,,1.4 m (4 ft 7 in) 1.4 m (4 ft 7 in),,5.0 kg (11 lb),,,,"43.2 kt (80 km/h, 49.7 mph) (unconfirmed figure) 43.2 kt (80 km/h, 49.7 mph) (unconfirmed figure)",,1.5 kg (3 lb 5 oz),,,,,,,"20 km (10.8 nm, 12.4 mi) (LOS; mission radius) 20 km (10.8 nm, 12.4 mi) (LOS; mission radius)",,,,,,,,,,,,,1.8 m (5 ft 10 3/4 in) 1.8 m (5 ft 10 3/4 in),
AR3,,,,"45.9 kt (85 km/h, 52.8 mph) 45.9 kt (85 km/h, 52.8 mph)",16 hr 0 min (maximum),,,,,,,,,,1.9 m (6 ft 2 3/4 in) 1.9 m (6 ft 2 3/4 in),,25 kg (55 lb),,,,"75.6 kt (140 km/h, 87 mph) 75.6 kt (140 km/h, 87 mph)",,4 kg (8 lb 13 oz),,,,,,,"100 km (54 nm, 62.1 mi) (datalink range) 100 km (54 nm, 62.1 mi) (datalink range) 120 km (64.8 nm, 74.6 mi) (operational) 120 km (64.8 nm, 74.6 mi) (operational)",,"3,600 m (11,810 ft)",,,,,,14 kg (31 lb),,,,,3.5 m (11 ft 5 3/4 in) 3.5 m (11 ft 5 3/4 in),
AR3 Net Ray,,,,"40.5 kt (75 km/h, 46.6 mph) 40.5 kt (75 km/h, 46.6 mph)",10 hr 0 min (typical),,,,,,,,,,1.45 m (4 ft 9 in),,18 kg (40 lb),,,,"64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph)",,8 kg (18 lb),,,,,,,,,"4,000 m (13,125 ft)","29.7 kt (55 km/h, 34.2 mph)",,,,,12 kg (26 lb),,,,,3.20 m (10 ft 6 in) 3.20 m (10 ft 6 in),
AR3 VTOL,,,,"49 kt (90.7 km/h, 56.4 mph) 49 kt (90.7 km/h, 56.4 mph)",8 hr 0 min,,,,,,,,,,,,25 kg (55 lb),,,,,,,,,,,,,,,,,,,,,,,,,,,
ASF 50,,,,"43.2 kt (80 km/h, 49.7 mph) (estimated) 43.2 kt (80 km/h, 49.7 mph) (estimated)",15 hr,,,,,,,,,,,,25 kg (55 lb),,,,"70.2 kt (130 km/h, 80.8 mph) (estimated) 70.2 kt (130 km/h, 80.8 mph) (estimated)",,7 kg (15 lb),,,,,,,"50 km (27 nm, 31 mi) (maximum) 50 km (27 nm, 31 mi) (maximum)",,"5,000 m (16,405 ft) (estimated)",,,,,,,,,,,3.9 m (12 ft 9 1/2 in) (estimated),
AT-04ap,,,,,2 hr 0 min,7 kg (15 lb),,,,,,,,,1.67 m (5 ft 5 3/4 in) 1.67 m (5 ft 5 3/4 in),,16.5 kg (36 lb),,,,"132 kt (244 km/h, 152 mph) 132 kt (244 km/h, 152 mph)",,4 kg (8 lb 13 oz),,"2,000 m (6,560 ft) (ceiling)",,,,,"50 km (27 nm, 31.1 mi) (LOS; free) 50 km (27 nm, 31.1 mi) (LOS; free)",,,,,,,,8.9 kg (20 lb),,,,,2 m (6 ft 6 3/4 in) 2 m (6 ft 6 3/4 in),
AT-04rc,,,,,2 hr 0 min,7 kg (15 lb),,,,,,,,,1.67 m (5 ft 5 3/4 in) 1.67 m (5 ft 5 3/4 in),,16.5 kg (36 lb),,,,"132 kt (244 km/h, 152 mph) 132 kt (244 km/h, 152 mph)",,4 kg (8 lb 13 oz),,"2,000 m (6,560 ft) (ceiling)",,,,,"3.7 km (2 nm, 2.3 mi) (visual range; max) 3.7 km (2 nm, 2.3 mi) (visual range; max)",,,,,,,,8.9 kg (20 lb),,,,,2 m (6 ft 6 3/4 in) 2 m (6 ft 6 3/4 in),
ATT-01,,,,"54 kt (100 km/h, 62.1 mph) 54 kt (100 km/h, 62.1 mph)",0 hr 30 min,,,,,,,50 m (164 ft),,,2.20 m (7 ft 2 1/2 in) 2.20 m (7 ft 2 1/2 in),,20 kg (44 lb),,,,"64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph)",,5 kg (11 lb),,,,,,"2.59 km (1.4 nm, 1.61 mi) (radio remote control within line of sight) 2.59 km (1.4 nm, 1.61 mi) (radio remote control within line of sight)","10 km (5.4 nm, 6.21 mi) 10 km (5.4 nm, 6.21 mi)",,"1,000 m (3,280 ft)",,30 m (98.4 ft) (prepared terrain) 50 m (164 ft) (unprepared terrain),,,,,,,,,3.20 m (10 ft 6 in) 3.20 m (10 ft 6 in),+ 2.8 g
Ababeel,,,,,0 hr 15 min (typical) 0 hr 25 min 0 hr 15 min (typical) 0 hr 25 min,,,,,,200 mm (7 3/4 in) 200 mm (7 3/4 in) 200 mm (7 3/4 in) 200 mm (7 3/4 in),,,,1.41 m (4 ft 7 1/2 in) 1.41 m (4 ft 7 1/2 in) 1.41 m (4 ft 7 1/2 in) 1.41 m (4 ft 7 1/2 in),,28 kg (62 lb) 28 kg (62 lb),,,,"94.5 kt (175 km/h, 109 mph) 94.5 kt (175 km/h, 109 mph) 94.5 kt (175 km/h, 109 mph) 94.5 kt (175 km/h, 109 mph)",,,,,,,280 mm (11 in) 280 mm (11 in),,"1.5 km (0.81 nm, 4,920 ft) (radio control) 1.5 km (0.81 nm, 4,920 ft) (radio control) 50 km (27 nm, 31 mi) (autonomous, BVR) 50 km (27 nm, 31 mi) (autonomous, BVR) 1.5 km (0.81 nm, 4,920 ft) (radio control) 1.5 km (0.81 nm, 4,920 ft) (radio control) 50 km (27 nm, 31 mi) (autonomous, BVR) 50 km (27 nm, 31 mi) (autonomous, BVR)",,,,,,600 mm (1 ft 11 1/2 in) 600 mm (1 ft 11 1/2 in) 600 mm (1 ft 11 1/2 in) 600 mm (1 ft 11 1/2 in),,,,,,,1.60 m (5 ft 3 in) 1.60 m (5 ft 3 in) 1.60 m (5 ft 3 in) 1.60 m (5 ft 3 in),
Ababeel-III,,,,,1 hr 30 min 1 hr 30 min,,,,,,,,,,2.03 m (6 ft 8 in) 2.03 m (6 ft 8 in) 2.03 m (6 ft 8 in) 2.03 m (6 ft 8 in),,28 kg (62 lb) 28 kg (62 lb),,,,"138 kt (256 km/h, 159 mph) 138 kt (256 km/h, 159 mph) 138 kt (256 km/h, 159 mph) 138 kt (256 km/h, 159 mph)",,,,,,,,,"50 km (27 nm, 31 mi) (autonomous, BVR) 50 km (27 nm, 31 mi) (autonomous, BVR) 50 km (27 nm, 31 mi) (autonomous, BVR) 50 km (27 nm, 31 mi) (autonomous, BVR)",,,,,,,,,,,,,2.54 m (8 ft 4 in) 2.54 m (8 ft 4 in) 2.54 m (8 ft 4 in) 2.54 m (8 ft 4 in),
Baykar Bayraktar Mini UAV,,,,"30 kt (55.6 km/h, 34.5 mph)",1 hr 0 min (typical) 2 hr 0 min,,,,,,200 mm (7 3/4 in) 200 mm (7 3/4 in),,,,1.2 m (3 ft 11 1/4 in) 1.2 m (3 ft 11 1/4 in),,5 kg (11 lb),"4,000 m (13,125 ft)",,,"40 kt (74 km/h, 46 mph) 40 kt (74 km/h, 46 mph)",,1 kg (2 lb 3 1/4 oz),,"610 m (2,000 ft)",,,,,"15 km (8.1 nm, 9.32 mi) 15 km (8.1 nm, 9.32 mi)",,,,,,,,,,,,,2.45 m (8 ft 1/2 in) 2.45 m (8 ft 1/2 in),
Berkut-1E,,,,"29.7 kt (55 km/h, 34.2 mph) (at max T-O weight) 29.7 kt (55 km/h, 34.2 mph) (at max T-O weight) 43.2 kt (80 km/h, 49.7 mph) (max) 43.2 kt (80 km/h, 49.7 mph) (max)",1 hr 10 min,,,,,,240 mm (9 1/2 in) 240 mm (9 1/2 in),,,,1.25 m (4 ft 1 1/4 in) 1.25 m (4 ft 1 1/4 in),,6 kg (13 lb),,,,,,350 g (12 1/4 oz),,"100 m (328 ft) (Min; min) 500 m (1,640 ft) (Max)",,,,"15 km (8.1 nm, 9.32 mi) (max) 15 km (8.1 nm, 9.32 mi) (max)","15 km (8.1 nm, 9.32 mi) (est) 15 km (8.1 nm, 9.32 mi) (est)",,"1,500 m (4,920 ft)",,,,,,,,,,,2.3 m (7 ft 6 1/2 in) 2.3 m (7 ft 6 1/2 in),
Berkut-2E,,,,"43.2 kt (80 km/h, 49.7 mph) 43.2 kt (80 km/h, 49.7 mph) 54 kt (100 km/h, 62.1 mph) (max) 54 kt (100 km/h, 62.1 mph) (max)",2 hr 0 min (@max T-O weight),,,,,,320 mm (1 ft 1/2 in) 320 mm (1 ft 1/2 in),,,,1.3 m (4 ft 3 1/4 in) 1.3 m (4 ft 3 1/4 in),,10 kg (22 lb),,,,,"59.4 kt (110 km/h, 68.4 mph) (@max T-O weight)",800 g (1 lb 12 1/4 oz),,100 m (328 ft) (min) 150 m (492 ft) (max),,,,,"35 km (18.9 nm, 21.7 mi) (max) 35 km (18.9 nm, 21.7 mi) (max)",,"3,000 m (9,845 ft)",,,,,,,,,,,2.9 m (9 ft 6 1/4 in) 2.9 m (9 ft 6 1/4 in),
Biodrone,,,,"32.4 kt (60 km/h, 37.3 mph)",1 hr 40 min (NiMh battery) 5 hr 0 min (ion lithium battery),,,,,,,,,,1.80 m (5 ft 10 3/4 in) 1.80 m (5 ft 10 3/4 in),"19.4 kt (36 km/h, 22.4 mph)",12.0 kg (26 lb),,,,"64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph)",,1.2 kg (2 lb 10 1/4 oz),,100 m (328 ft) (min) 300 m (984 ft) (max),8.5 kg (19 lb),,,"10 km (5.4 nm, 6.21 mi) (demonstrated) 10 km (5.4 nm, 6.21 mi) (demonstrated)",,,"1,500 m (4,920 ft)",,,,,,,,,,,3.40 m (11 ft 1 3/4 in),
Bird Eye 650,,,,,4 hr (maximum),,,,,,,,,,,"40 kt (74.1 km/h, 46 mph) (TAS)",11 kg (24 lb),,,,"70 kt (130 km/h, 80.6 mph) (TAS) 70 kt (130 km/h, 80.6 mph) (TAS)",,1.2 kg (2 lb 10 1/4 oz),,"457 m (1,500 ft) (Max; above ground level)",,,,"50 km (27 nm, 31.1 mi) (maximum) 50 km (27 nm, 31.1 mi) (maximum)","20 km (10.8 nm, 12.4 mi) 20 km (10.8 nm, 12.4 mi)",,,,,,,,,,,,,3 m (9 ft 10 in) 3 m (9 ft 10 in),
Bird Eye 650D,,,,,15 hr (minimum),,,,,,,,,,,"40 kt (74.1 km/h, 46 mph) (TAS)",30 kg (66 lb),,,,"80 kt (148 km/h, 92.1 mph) (TAS) 80 kt (148 km/h, 92.1 mph) (TAS)",,5.5 kg (12 lb) (UAV optimised for full endurance),,,,,,,"150 km (81 nm, 93.2 mi) (typical minima) 150 km (81 nm, 93.2 mi) (typical minima)",,"4,570 m (15,000 ft)",,,,,,,,,,,4 m (13 ft 1 1/2 in) 4 m (13 ft 1 1/2 in),
BirdEye 400,,,,,1 hr 30 min,,,,,,,,,,800 mm (2 ft 7 1/2 in) 800 mm (2 ft 7 1/2 in),,5.8 kg (13 lb),,,,"60 kt (111 km/h, 69 mph) 60 kt (111 km/h, 69 mph)",,1.2 kg (2 lb 10 1/4 oz),,"152 m (500 ft) (typical, above ground level) 457 m (1,500 ft) (max; above ground level)",,,,"20 km (10.8 nm, 12.4 mi) 20 km (10.8 nm, 12.4 mi)",,,,,,,,,,,,,,2.20 m (7 ft 2 1/2 in) 2.20 m (7 ft 2 1/2 in),
Blik-M,,,,"135 kt (250 km/h, 155 mph) (max) 135 kt (250 km/h, 155 mph) (max)",0 hr 30 min (avg),,,,,,,,,,3.35 m (11 ft),,30 kg (66 lb),,,,"270 kt (500 km/h, 311 mph) 270 kt (500 km/h, 311 mph)",,,,"6,000 m (19,685 ft) (Max)",,,,"124 km (67 nm, 77.1 mi) (max) 124 km (67 nm, 77.1 mi) (max)",,,,,,,,,,,,,,2.47 m (8 ft 1 1/4 in) 2.47 m (8 ft 1 1/4 in),
Border Eagle Mk-2,,,,"57.2 kt (106 km/h, 65.9 mph) 57.2 kt (106 km/h, 65.9 mph)",6 hr 0 min (typical),,0.95 m² (10.2 sq ft),,,,480 mm (1 ft 7 in) 480 mm (1 ft 7 in),,,,1.17 m (3 ft 10 in) 1.17 m (3 ft 10 in),,15 kg (33 lb),,,,"86.4 kt (160 km/h, 99.4 mph) 86.4 kt (160 km/h, 99.4 mph)",,4 kg (8 lb 13 oz),,,,,,,,,,,,,,,9 kg (20 lb) (dry),,,,,3.10 m (10 ft 2 in) 3.10 m (10 ft 2 in),
Borey 10,,,,"31 kt (57.4 km/h, 35.7 mph) 31 kt (57.4 km/h, 35.7 mph)",4 hr 0 min,,,,,,260 mm (10 1/4 in) 260 mm (10 1/4 in),,,,760 mm (2 ft 6 in) 760 mm (2 ft 6 in),,15 kg (33 lb),,,,"58 kt (107 km/h, 66.7 mph) 58 kt (107 km/h, 66.7 mph)",,2 kg (4 lb 6 1/2 oz),,"600 m (1,970 ft) (optimum for ground observation)",,,,"250 km (135 nm, 155 mi) 250 km (135 nm, 155 mi)",,"660 m/min (2,165 ft/min)","3,500 m (11,485 ft)",,,,,,,,,,,3.57 m (11 ft 8 1/2 in) 3.57 m (11 ft 8 1/2 in),
Borey 20,,,,"39 kt (72.2 km/h, 44.9 mph) 39 kt (72.2 km/h, 44.9 mph)",5 hr 0 min,,,,,,350 mm (1 ft 1 3/4 in),,,,880 mm (2 ft 10 3/4 in) 880 mm (2 ft 10 3/4 in),,26 kg (57 lb),,,,"58 kt (107 km/h, 66.7 mph) 58 kt (107 km/h, 66.7 mph)",,4 kg (8 lb 13 oz),,,,,,"400 km (216 nm, 249 mi) 400 km (216 nm, 249 mi)","120 km (65 nm, 74.8 mi) (Datalink) 120 km (65 nm, 74.8 mi) (Datalink)",241 m/min (791 ft/min),"3,500 m (11,485 ft)",,,,,,8.7 kg (19 lb),,,,,4.37 m (14 ft 4 in) 4.37 m (14 ft 4 in),
CH-802,,,,"27 kt (50 km/h, 31.1 mph) (typical) 27 kt (50 km/h, 31.1 mph) (typical) 43 kt (79.6 km/h, 49.5 mph) (maximum) 43 kt (79.6 km/h, 49.5 mph) (maximum)",1 hr 0 min,,,,,,,,,,1.8 m (5 ft 10 3/4 in) 1.8 m (5 ft 10 3/4 in),,6.5 kg (14 lb),,,,"49 kt (90.7 km/h, 56.4 mph) 49 kt (90.7 km/h, 56.4 mph)",,1 kg (2 lb 3 1/4 oz),,"1,000 m (3,280 ft) (maximum, cruising) 300 m (984 ft) (typical, cruising)",,,,"15 km (8.1 nm, 9.32 mi) 15 km (8.1 nm, 9.32 mi)","68.5 km (37 nm, 42.6 mi) (LOS; maximum) 68.5 km (37 nm, 42.6 mi) (LOS; maximum)",,"4,000 m (13,125 ft)",,,,,,,,,,,3 m (9 ft 10 in) 3 m (9 ft 10 in),
CH-804,,,,"49 kt (90.7 km/h, 56.4 mph) (typical) 49 kt (90.7 km/h, 56.4 mph) (typical) 59 kt (109 km/h, 67.9 mph) (maximum) 59 kt (109 km/h, 67.9 mph) (maximum)","8 hr 0 min (typical, payload dependent)",,,,,,,,,,,,22 kg (49 lb),,,,"65 kt (120 km/h, 74.8 mph) 65 kt (120 km/h, 74.8 mph)",,5 kg (11 lb),,"1,000 m (3,280 ft) (maximum, cruising) 500 m (1,640 ft) (typical, cruising)",,,,"75.9 km (41 nm, 47.2 mi) (LOS) 75.9 km (41 nm, 47.2 mi) (LOS)","800 km (432 nm, 497 mi) (maximum) 800 km (432 nm, 497 mi) (maximum)",,"4,000 m (13,125 ft)",,,,,,,,,,,,
CH-804C,,,,"70 kt (130 km/h, 80.6 mph) 70 kt (130 km/h, 80.6 mph)",4 hr,,,,,,,,,,,,30 kg (66 lb),,,,,,4 kg (8 lb 13 oz),,,,,,,"100 km (54 nm, 62.1 mi) (LOS; Datalink) 100 km (54 nm, 62.1 mi) (LOS; Datalink)",,"4,000 m (13,125 ft)",,,,,,,,,,,4.25 m (13 ft 11 1/4 in) 4.25 m (13 ft 11 1/4 in),
