Max. Equipment Designation,Absolute ceiling,Best glide ratio,Cruising altitude,Cruising speed,Endurance,Fuel with max payload,Gross wing area,"Ground clearance, fuselage","Height, alternate configuration","Height, fuselage","Height, overall",Landing run,"Length, alternate configuration","Length, fuselage","Length, overall",Loitering speed,Max T-O weight,Max certified altitude,Max fuel weight,Max launch weight,Max level speed,Max operating speed,Max payload,Never-exceed speed,Operating altitude,"Operating weight, empty",Payload with max fuel,Propeller diameter,Radius of operation,Range,Rate of climb,Service ceiling,Stalling speed,T-O run,T-O speed,Tailplane span,Weapons bay volume,Weight empty,"Weight empty, equipped","Width, fuselage","Width, overall",Wing aspect ratio,Wing span,g limits
CH-901,,,,"37.8 kt (70 km/h, 43.5 mph) (typical) 37.8 kt (70 km/h, 43.5 mph) (typical) 64.8 kt (120 km/h, 74.6 mph) (maximum) 64.8 kt (120 km/h, 74.6 mph) (maximum) 37.8 kt (70 km/h, 43.5 mph) (typical) 37.8 kt (70 km/h, 43.5 mph) (typical) 64.8 kt (120 km/h, 74.6 mph) (maximum) 64.8 kt (120 km/h, 74.6 mph) (maximum)",1 hr (attack mode) 2 hr (reconnaissance mode) 1 hr (attack mode) 2 hr (reconnaissance mode),,,,,,600 mm (1 ft 11 1/2 in) 600 mm (1 ft 11 1/2 in) 600 mm (1 ft 11 1/2 in) 600 mm (1 ft 11 1/2 in),,,,1.2 m (3 ft 11 1/4 in) 1.2 m (3 ft 11 1/4 in) 1.2 m (3 ft 11 1/4 in) 1.2 m (3 ft 11 1/4 in),,9 kg (20 lb) 9 kg (20 lb),,,,"81 kt (150 km/h, 93.2 mph) 81 kt (150 km/h, 93.2 mph) 81 kt (150 km/h, 93.2 mph) 81 kt (150 km/h, 93.2 mph)",,2 kg (4 lb 6 1/2 oz) 2 kg (4 lb 6 1/2 oz),,"1,500 m (4,920 ft) (Max) 100 m (328 ft) (typical) 1,500 m (4,920 ft) (Max) 100 m (328 ft) (typical)",,,,"15 km (8.1 nm, 9.32 mi) (LOS) 15 km (8.1 nm, 9.32 mi) (LOS) 15 km (8.1 nm, 9.32 mi) (LOS) 15 km (8.1 nm, 9.32 mi) (LOS)","2 km (1.1 nm, 1.24 mi) (imaging sensor detection range) 2 km (1.1 nm, 1.24 mi) (imaging sensor detection range) 2 km (1.1 nm, 1.24 mi) (imaging sensor detection range) 2 km (1.1 nm, 1.24 mi) (imaging sensor detection range)",,"2,000 m (6,560 ft) 2,000 m (6,560 ft)",,,,,,,,,,,2 m (6 ft 6 3/4 in) 2 m (6 ft 6 3/4 in) 2 m (6 ft 6 3/4 in) 2 m (6 ft 6 3/4 in),
Cabure III,,,,,1 hr 30 min,,,,,,350 mm (1 ft 1 3/4 in) 350 mm (1 ft 1 3/4 in),,,,1.20 m (3 ft 11 1/4 in) 1.20 m (3 ft 11 1/4 in),,6.5 kg (14 lb),,,5.0 kg (11 lb),"56.7 kt (105 km/h, 65.2 mph) 56.7 kt (105 km/h, 65.2 mph)",,1 kg (2 lb 3 1/4 oz),"64.79 kt (120 km/h, 74.6 mph)",,,,,,"15 km (8.1 nm, 9.32 mi) (LOS; typical maxima) 15 km (8.1 nm, 9.32 mi) (LOS; typical maxima)","354 m/min (1,161 ft/min)","3,000 m (9,845 ft)","22.14 kt (41 km/h, 25.5 mph)",,,,,,,,,,2.20 m (7 ft 2 1/2 in) 2.20 m (7 ft 2 1/2 in),
Casper 250,,,,,1 hr 30 min,,,,,,,,,,1.70 m (5 ft 7 in) 1.70 m (5 ft 7 in),,5.5 kg (12 lb),,,,,,,,,,,,"10 km (5.4 nm, 6.21 mi) (mission) 10 km (5.4 nm, 6.21 mi) (mission)",,,"610 m (2,000 ft)",,,,,,,,,,,2.50 m (8 ft 2 1/2 in) 2.50 m (8 ft 2 1/2 in),
Ciconia,,,,"32.4 kt (60 km/h, 37.3 mph) (typical) 32.4 kt (60 km/h, 37.3 mph) (typical) 43.2 kt (80 km/h, 49.7 mph) (maximum) 43.2 kt (80 km/h, 49.7 mph) (maximum)",2 hr 30 min (max) 2 hr (typical),,,,,,352 mm (1 ft 1 3/4 in) 352 mm (1 ft 1 3/4 in),,,,1.135 m (3 ft 8 3/4 in) 1.135 m (3 ft 8 3/4 in),,6 kg (13 lb),,,,"64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph)",,,,"1,500 m (4,920 ft) (Max)",,,,"180 km (97.2 nm, 112 mi) 180 km (97.2 nm, 112 mi)","15 km (8.1 nm, 9.32 mi) (LOS; stable video, digital link) 15 km (8.1 nm, 9.32 mi) (LOS; stable video, digital link) 30 km (16.2 nm, 18.6 mi) (radio link, typical) 30 km (16.2 nm, 18.6 mi) (radio link, typical) 40 km (21.6 nm, 24.9 mi) (LOS; stable video, analogue link) 40 km (21.6 nm, 24.9 mi) (LOS; stable video, analogue link) 45 km (24.3 nm, 28 mi) (LOS; two-way digital telemetry data channel with encryption) 45 km (24.3 nm, 28 mi) (LOS; two-way digital telemetry data channel with encryption) 50 km (27 nm, 31.1 mi) (radio link, maximum) 50 km (27 nm, 31.1 mi) (radio link, maximum)",,,,,,,,,,,,,1.98 m (6 ft 6 in) 1.98 m (6 ft 6 in),
Coelum VTOL,,,,"25 kt (46.3 km/h, 28.8 mph)",1 hr 0 min,,,,,,,,,,1.16 m (3 ft 9 3/4 in),,5.5 kg (12 lb),,,,,"49 kt (90.7 km/h, 56.4 mph)",,,,,,,,"15 km (8.1 nm, 9.32 mi) (LOS; Datalink)",,,,,,,,,,,,,2.5 m (8 ft 2 1/2 in),
Coelum X-001,,,,"25 kt (46.3 km/h, 28.8 mph)",1 hr 0 min,,,,,,,,,,1.16 m (3 ft 9 3/4 in),,5.5 kg (12 lb),,,,,"49 kt (90.7 km/h, 56.4 mph)",,,,,,,,"15 km (8.1 nm, 9.32 mi) (LOS; Datalink)",,,,,,,,,,,,,2.5 m (8 ft 2 1/2 in),
Coelum X-002,,,,"25 kt (46.3 km/h, 28.8 mph)",1 hr 0 min,,,,,,,,,,1.16 m (3 ft 9 3/4 in),,5.5 kg (12 lb),,,,,"49 kt (90.7 km/h, 56.4 mph)",,,,,,,,"15 km (8.1 nm, 9.32 mi) (LOS; Datalink)",,,,,,,,,,,,,2.5 m (8 ft 2 1/2 in),
Condor,,,,"29 kt (53.7 km/h, 33.4 mph) 29 kt (53.7 km/h, 33.4 mph)",3 hr 0 min ([max] [with one battery]) 4 hr 0 min ([max] [with two batteries]),,,,,,450 mm (1 ft 5 3/4 in) 450 mm (1 ft 5 3/4 in),,,,1.76 m (5 ft 9 1/4 in) 1.76 m (5 ft 9 1/4 in),,11.3 kg (25 lb),,,,,"45 kt (83.3 km/h, 51.8 mph)",2.26 kg (4 lb 15 3/4 oz),,,4.5 kg (9 lb 14 3/4 oz),,,,"50 km (27 nm, 31.1 mi) (using MIMO datalink) 50 km (27 nm, 31.1 mi) (using MIMO datalink)",,"5,180 m (17,000 ft)","18 kt (33.3 km/h, 20.7 mph)",,,,,,,,,,3.65 m (11 ft 11 3/4 in) 3.65 m (11 ft 11 3/4 in),
CyberBug Grande,,,,,0 hr 40 min (CyberBug Micro) 1 hr 5 min (CyberBug B2) 5 hr,,,,,,,,,,,,1.2 kg (2 lb 10 1/4 oz) (CyberBug Micro) 3.6 kg (7 lb 15 oz) (CyberBug B2) 23.6 kg (52 lb),,,,,,,,"122 m (400 ft) (CyberBug B2) 122 m (400 ft) (CyberBug Micro) 305 m (1,000 ft)",,,,,"8.1 km (4.3 nm, 5.03 mi) (operating) 8.1 km (4.3 nm, 5.03 mi) (operating)",,"3,050 m (10,000 ft) (above sea level, engine dependent as applied to the CyberBug Grande; CyberBug B2) 3,050 m (10,000 ft) (above sea level, engine dependent as applied to the CyberBug Grande; CyberBug Micro) 3,050 m (10,000 ft) (above sea level, engine dependent as applied to the CyberBug Grande)",,,,,,,,,,,1.2 m (3 ft 11 1/4 in) (CyberBug B2) 1.2 m (3 ft 11 1/4 in) (CyberBug B2) 3.1 m (10 ft 2 in) 3.1 m (10 ft 2 in) 760 mm (2 ft 6 in) (CyberBug Micro) 760 mm (2 ft 6 in) (CyberBug Micro),
CyberBug R & D,,,,,0 hr 40 min (CyberBug Micro) 1 hr 5 min (CyberBug B2) 1 hr 30 min,,,,,,,,,,,,1.2 kg (2 lb 10 1/4 oz) (CyberBug Micro) 3.6 kg (7 lb 15 oz) (CyberBug B2) 6.6 kg (15 lb),,,,,,,,122 m (400 ft) 122 m (400 ft) (CyberBug B2) 122 m (400 ft) (CyberBug Micro),,,,,"5 km (2.7 nm, 3.1 mi) (operating, CyberBug B2, CyberBug Micro, CyberBug R & D) 5 km (2.7 nm, 3.1 mi) (operating, CyberBug B2, CyberBug Micro, CyberBug R & D)",,"3,050 m (10,000 ft) (above sea level, engine dependent as applied to the CyberBug Grande; CyberBug B2) 3,050 m (10,000 ft) (above sea level, engine dependent as applied to the CyberBug Grande; CyberBug Micro)",,,,,,,,,,,1.2 m (3 ft 11 1/4 in) (CyberBug B2) 1.2 m (3 ft 11 1/4 in) (CyberBug B2) 1.5 m (4 ft 11 in) 1.5 m (4 ft 11 in) 760 mm (2 ft 6 in) (CyberBug Micro) 760 mm (2 ft 6 in) (CyberBug Micro),
DT26E LiDAR,,,,"32 kt (59.3 km/h, 36.8 mph) 32 kt (59.3 km/h, 36.8 mph)",1 hr 50 min,,,,,,,,,,1.6 m (5 ft 3 in) 1.6 m (5 ft 3 in),,17 kg (37 lb) (with payload),,,,,,,,,,,,"29.6 km (16 nm, 18.4 mi) (max, at 250 m AGL) 29.6 km (16 nm, 18.4 mi) (max, at 250 m AGL)","110 km (59.4 nm, 68.4 mi) 110 km (59.4 nm, 68.4 mi)",,"5,000 m (16,405 ft) (ASL)",,,,,,,,,,,3.3 m (10 ft 10 in) 3.3 m (10 ft 10 in),
DT26E Open Payload,,,,"32 kt (59.3 km/h, 36.8 mph)",2 hr 50 min,,,,,,,,,,1.6 m (5 ft 3 in) 1.6 m (5 ft 3 in),,18.5 kg (41 lb),,,,,,3 kg (6 lb 9 3/4 oz),,"2,000 m (6,560 ft) (max at 0° temp)",,,,"20.4 km (11 nm, 12.7 mi) (max) 20.4 km (11 nm, 12.7 mi) (max)","29.6 km (16 nm, 18.4 mi) (at 250 m AGL) 29.6 km (16 nm, 18.4 mi) (at 250 m AGL)",,"2,750 m (9,020 ft)",,,,,,,,,,,3.3 m (10 ft 10 in) 3.3 m (10 ft 10 in),
DT26E Surveillance,,,,"31 kt (57.4 km/h, 35.7 mph) 31 kt (57.4 km/h, 35.7 mph)",2 hr 50 min,,,,,,,,,,1.6 m (5 ft 3 in) 1.6 m (5 ft 3 in),,15 kg (33 lb),,,,,,,,,,,,"20.4 km (11 nm, 12.7 mi) (max) 20.4 km (11 nm, 12.7 mi) (max)",,,"5,000 m (16,405 ft) (ASL)",,,,,,,,,,,3.3 m (10 ft 10 in) 3.3 m (10 ft 10 in),
DT26E Tactical,,,,"31 kt (57.4 km/h, 35.7 mph) 31 kt (57.4 km/h, 35.7 mph)",2 hr 50 min,,,,,,,,,,1.6 m (5 ft 3 in) 1.6 m (5 ft 3 in),,15 kg (33 lb),,,,,,,,"2,300 m (7,545 ft) (max at 0° temp)",,,,"20.4 km (11 nm, 12.7 mi) (max) 20.4 km (11 nm, 12.7 mi) (max)","50 km (27 nm, 31.1 mi) (communication link) 50 km (27 nm, 31.1 mi) (communication link)",,"3,000 m (9,845 ft)",,,,,,,,,,,3.3 m (10 ft 10 in) 3.3 m (10 ft 10 in),
DVF 2000 ER,,,,"47 kt (87 km/h, 54.1 mph) (typical) 64.8 kt (120 km/h, 74.6 mph) (maximum) 64.8 kt (120 km/h, 74.6 mph) (maximum)",7 hr (typical) 8 hr (maximum),,,,,,,,,,2.27 m (7 ft 5 1/4 in) 2.27 m (7 ft 5 1/4 in),,23 kg (51 lb),,,,,,2.0 kg (4 lb 6 1/2 oz),,"400 m (1,310 ft) (cruising)",,,,,"50 km (27 nm, 31.1 mi) (typical) 50 km (27 nm, 31.1 mi) (typical)",,"3,000 m (9,845 ft) (above mean sea level)",,,,,,,,,,,3.30 m (10 ft 10 in) 3.30 m (10 ft 10 in),
DVF 2000 VT/ALIACA,,,,"35.1 kt (65 km/h, 40.4 mph) (typical) 35.1 kt (65 km/h, 40.4 mph) (typical) 52.4 kt (97 km/h, 60.3 mph) (maximum) 52.4 kt (97 km/h, 60.3 mph) (maximum)",3 hr 0 min,,,,,,,,,,1.85 m (6 ft 3/4 in) 1.85 m (6 ft 3/4 in),,12.0 kg (26 lb),,,,,,1.1 kg (2 lb 6 3/4 oz),,150 m (492 ft) (cruising),,,,,"50 km (27 nm, 31.1 mi) (maximum) 50 km (27 nm, 31.1 mi) (maximum) 100 km (54 nm, 62.1 mi) (typical) 100 km (54 nm, 62.1 mi) (typical)",,"3,000 m (9,845 ft) (above mean sea level)",,,,,,,,,,,3.00 m (9 ft 10 in) 3.00 m (9 ft 10 in),
Diamond,,,,,0 hr 30 min,,,,,,,,,,3.35 m (11 ft) 3.35 m (11 ft),,29 kg (64 lb),,,,"213 kt (394 km/h, 245 mph) (Min) 213 kt (394 km/h, 245 mph) (Min) 252 kt (467 km/h, 290 mph) (Max) 252 kt (467 km/h, 290 mph) (Max)",,,,,,,,,,,,,,,,,19 kg (42 lb),,,,,2.47 m (8 ft 1 1/4 in) 2.47 m (8 ft 1 1/4 in),
Dragon,,,,"44.7 kt (82.8 km/h, 51.4 mph) 44.7 kt (82.8 km/h, 51.4 mph)",2 hr 0 min (with 1 kg payload weight),,0.7 m² (7.53 sq ft),,,,300 mm (11 3/4 in) 300 mm (11 3/4 in),,,,1.69 m (5 ft 6 1/2 in) 1.69 m (5 ft 6 1/2 in),,14 kg (31 lb),,,,,"64.2 kt (119 km/h, 73.9 mph)",1.5 kg (3 lb 5 oz) (including battery),,,7 kg (15 lb) (without payload and battery),,,,"400 km (216 nm, 249 mi) 400 km (216 nm, 249 mi)",,"4,000 m (13,125 ft)","33 kt (61.1 km/h, 38 mph)",,,,,,,,,,3.05 m (10 ft) 3.05 m (10 ft),
EOS,,,,"27 kt (50 km/h, 31.1 mph) 27 kt (50 km/h, 31.1 mph)",2 hr (weather and mission profile dependent),,,,,,,,,,1.6 m (5 ft 3 in) 1.6 m (5 ft 3 in),,7 kg (15 lb),,,,"54 kt (100 km/h, 62.1 mph) 54 kt (100 km/h, 62.1 mph)",,,,"1,500 m (4,920 ft) (AGL)",,,,,"75 km (40.5 nm, 46.6 mi) (Datalink) 75 km (40.5 nm, 46.6 mi) (Datalink)",,,,,,,,,,,,,4 m (13 ft 1 1/2 in) 4 m (13 ft 1 1/2 in),
EOS C VTOL,,,,"33 kt (61.1 km/h, 38 mph) 33 kt (61.1 km/h, 38 mph)",3 hr 0 min,,,,,,450 mm (1 ft 5 3/4 in) 450 mm (1 ft 5 3/4 in),,,,1.8 m (5 ft 10 3/4 in) 1.8 m (5 ft 10 3/4 in),,14.2 kg (31 lb),,,,"58 kt (107 km/h, 66.7 mph) 58 kt (107 km/h, 66.7 mph)",,1.1 kg (2 lb 6 3/4 oz) (standard),,"1,500 m (4,920 ft) (AGL)",,,,"191 km (103 nm, 119 mi) 191 km (103 nm, 119 mi)","50 km (27 nm, 31.1 mi) (Radio control; LOS) 50 km (27 nm, 31.1 mi) (Radio control; LOS)",,"4,500 m (14,765 ft) (AMSL)",,,,,,,,,,,5 m (16 ft 4 3/4 in) 5 m (16 ft 4 3/4 in),
Eagle Eye 4 Gasoline,,,,"46.7 kt (86.4 km/h, 53.7 mph)",4 hr 0 min (1 kg payload) 10 hr 48 min (25 kg (55 lb) maximum take-off weight),,1.1 m² (11.8 sq ft),,,,800 mm (2 ft 7 1/2 in),,,,3.0 m (9 ft 10 in),,30 kg (66 lb),,,,"68 kt (126 km/h, 78.3 mph)",,10 kg (22 lb),,,,10 kg (22 lb),,,"480 km (259.2 nm, 298 mi)",,"2,000 m (6,560 ft)","37 kt (68.5 km/h, 42.6 mph)",12 m (39.4 ft) (minimum) 80 m (262 ft) (maximum),,,,20 kg (44 lb),,,,,4.0 m (13 ft 1 1/2 in),
Eagle Hero-VTOL Electric,,25 (Min) 28 (Max),,"46.7 kt (86.4 km/h, 53.7 mph) 46.7 kt (86.4 km/h, 53.7 mph)",2 hr (1 kg payload weight),,0.7 m² (7.53 sq ft),,,,300 mm (11 3/4 in) 300 mm (11 3/4 in),,,,1.61 m (5 ft 3 1/2 in) 1.61 m (5 ft 3 1/2 in),,18 kg (40 lb),,,,"68 kt (126 km/h, 78.3 mph) 68 kt (126 km/h, 78.3 mph)",,1.5 kg (3 lb 5 oz),,,,,,,"180 km (97.2 nm, 112 mi) 180 km (97.2 nm, 112 mi)",,"4,000 m (13,125 ft)","25.27 kt (46.8 km/h, 29.1 mph)",,,,,16.5 kg (36 lb),,,,,3.50 m (11 ft 5 3/4 in) 3.50 m (11 ft 5 3/4 in),
Eagle Plus VTOL,,,,"50.5 kt (93.6 km/h, 58.2 mph) 50.5 kt (93.6 km/h, 58.2 mph)",4 hr 0 min (with 1.5 kg payload weight),,0.7 m² (7.53 sq ft),,,,300 mm (11 3/4 in) 300 mm (11 3/4 in),,,,1.99 m (6 ft 6 1/4 in) 1.99 m (6 ft 6 1/4 in),,22 kg (49 lb),,,,,"64.1 kt (118.8 km/h, 73.8 mph)",10 kg (22 lb) (including hydrogen tank and battery),,,,,,,"400 km (216 nm, 249 mi) 400 km (216 nm, 249 mi)",,"4,000 m (13,125 ft)","37 kt (68.5 km/h, 42.6 mph)",,,,,12.5 kg (28 lb),,,,,3.50 m (11 ft 5 3/4 in) 3.50 m (11 ft 5 3/4 in),
Edomon,,,,,6 hr 0 min,,,,,,,,,,1.895 m (6 ft 2 1/2 in),,18 kg (40 lb),,,,,"64.8 kt (120 km/h, 74.6 mph)",2.3 kg (5 lb 1 1/4 oz),,,,,,,"100 km (54 nm, 62.1 mi) (Datalink)",,"3,050 m (10,000 ft)",,,,,,11.7 kg (26 lb),,,,,3 m (9 ft 10 in),
Explorer,,,,"56.7 kt (105 km/h, 65.2 mph) 56.7 kt (105 km/h, 65.2 mph)",4 hr (min; typical) 6 hr (typical),,1.94 m² (20.9 sq ft),,,,800 mm (2 ft 7 1/2 in) 800 mm (2 ft 7 1/2 in),,,,2.75 m (9 ft 1/4 in) 2.75 m (9 ft 1/4 in),,24.0 kg (53 lb),,,,"86.4 kt (160 km/h, 99.4 mph) 86.4 kt (160 km/h, 99.4 mph)",,8.0 kg (18 lb),,,,,,,,,,,,,,,9.0 kg (20 lb) (dry),,,,,4.51 m (14 ft 9 1/2 in) 4.51 m (14 ft 9 1/2 in),
F-330,,,,"43.2 kt (80 km/h, 49.7 mph) 43.2 kt (80 km/h, 49.7 mph) 43.2 kt (80 km/h, 49.7 mph) 43.2 kt (80 km/h, 49.7 mph) 43.2 kt (80 km/h, 49.7 mph) 43.2 kt (80 km/h, 49.7 mph)",8 hr (fuel/payload dependent) 8 hr (fuel/payload dependent) 8 hr (fuel/payload dependent),,,,,,900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,,,2.27 m (7 ft 5 1/4 in) 2.27 m (7 ft 5 1/4 in) 2.27 m (7 ft 5 1/4 in) 2.27 m (7 ft 5 1/4 in) 2.27 m (7 ft 5 1/4 in) 2.27 m (7 ft 5 1/4 in),,23.7 kg (52 lb) 23.7 kg (52 lb) 23.7 kg (52 lb),,,,"64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph)",,8 kg (18 lb) 8 kg (18 lb) 8 kg (18 lb),,,,,,,"60 km (32.4 nm, 37.3 mi) (Datalink; range, typical) 60 km (32.4 nm, 37.3 mi) (Datalink; range, typical) 100 km (54 nm, 62.1 mi) (Datalink; range, maximum) 100 km (54 nm, 62.1 mi) (Datalink; range, maximum) 60 km (32.4 nm, 37.3 mi) (Datalink; range, typical) 60 km (32.4 nm, 37.3 mi) (Datalink; range, typical) 100 km (54 nm, 62.1 mi) (Datalink; range, maximum) 100 km (54 nm, 62.1 mi) (Datalink; range, maximum) 60 km (32.4 nm, 37.3 mi) (Datalink; range, typical) 60 km (32.4 nm, 37.3 mi) (Datalink; range, typical) 100 km (54 nm, 62.1 mi) (Datalink; range, maximum) 100 km (54 nm, 62.1 mi) (Datalink; range, maximum)",,"3,000 m (9,845 ft) 3,000 m (9,845 ft) 3,000 m (9,845 ft)",,,,,,,,,,,3.3 m (10 ft 10 in) 3.3 m (10 ft 10 in) 3.3 m (10 ft 10 in) 3.3 m (10 ft 10 in) 3.3 m (10 ft 10 in) 3.3 m (10 ft 10 in),
FT-150 X1,,,,"52 kt (96.3 km/h, 59.8 mph) (typical) 52 kt (96.3 km/h, 59.8 mph) (typical)",18 hr (typical),,,,,,,,,,1.7 m (5 ft 7 in) 1.7 m (5 ft 7 in),,20 kg (44 lb),,,,,,,,,,,,"185 km (100 nm, 115 mi) (maximum) 185 km (100 nm, 115 mi) (maximum)",,,,,,,,,,,,,,3.3 m (10 ft 10 in) 3.3 m (10 ft 10 in),
Falcon,,,,"27 kt (50 km/h, 31.1 mph) 27 kt (50 km/h, 31.1 mph)","0 hr 60 min (typical, operations/mission dependent) 0 hr 90 min (maximum, operations/mission dependent)",,,,,,430 mm (1 ft 5 in) 430 mm (1 ft 5 in),,,,1.37 m (4 ft 6 in) 1.37 m (4 ft 6 in),,5.44 kg (12 lb) (payload dependent),,,,"45 kt (83.3 km/h, 51.8 mph) 45 kt (83.3 km/h, 51.8 mph)",,1.13 kg (2 lb 7 3/4 oz),,"4,572 m (15,000 ft) (max; estimated) 609.6 m (2,000 ft) (max)",,,,,"48.3 km (26.1 nm, 30 mi) ([minimum, terrain/antenna dependent]) 48.3 km (26.1 nm, 30 mi) ([minimum, terrain/antenna dependent]) 96.4 km (52.1 nm, 59.9 mi) ([maximum, terrain/antenna dependent]) 96.4 km (52.1 nm, 59.9 mi) ([maximum, terrain/antenna dependent])",,"3,660 m (12,000 ft) (demonstrated)",,,,,,,,,,,2.44 m (8 ft) 2.44 m (8 ft),
Flexrotor,,,,"45.9 kt (85 km/h, 52.8 mph) 45.9 kt (85 km/h, 52.8 mph)",33 hr 0 min (with daylight imaging payload),,0.70 m² (7.53 sq ft),,,,,,,,2 m (6 ft 6 3/4 in) (overall with legs closed for cruise) 2 m (6 ft 6 3/4 in) (overall with legs closed for cruise),,25 kg (55 lb) (vertical T-O),,,,"77.2 kt (143 km/h, 88.9 mph) 77.2 kt (143 km/h, 88.9 mph)",,7.7 kg (17 lb),,,,,1.85 m (6 ft 3/4 in) (standard rotor) 2.2 m (7 ft 2 1/2 in) (hot/high/heavy rotor),,"200 km (108 nm, 124 mi) (Datalink; max)","60 m/min (197 ft/min) at altitude: 0 ft (0 m) (max, vertical flight; maximum weight) 228 m/min (748 ft/min) at altitude: 0 ft (0 m) (max, forward flight; maximum weight)","6,500 m (21,325 ft) (wing-borne ceiling @ max weight)",,,,,,,,180 mm (7 in),,,3.00 m (9 ft 10 in) 3.00 m (9 ft 10 in),
FlyEye,,,,,"2 hr 30 min (typical, weather dependent) 3 hr 0 min (weather dependent)",,,,,,,,,,1.8 m (5 ft 10 3/4 in) 1.8 m (5 ft 10 3/4 in),,12 kg (26 lb),,,,,"64.8 kt (120 km/h, 74.6 mph)",2 kg (4 lb 6 1/2 oz),"64.79 kt (120 km/h, 74.6 mph)","1,000 m (3,280 ft) (AGL)",,,,"29.6 km (16 nm, 18.4 mi) (standard, under radio control) 29.6 km (16 nm, 18.4 mi) (standard, under radio control) 200 km (108 nm, 124 mi) (maximum, uncontrolled flight) 200 km (108 nm, 124 mi) (maximum, uncontrolled flight)","180 km (97.2 nm, 112 mi) (LOS) 180 km (97.2 nm, 112 mi) (LOS)",,"3,000 m (9,845 ft) (AMSL)","20.52 kt (38 km/h, 23.6 mph) (AV in landing configuration)",,,,,,,,,,3.6 m (11 ft 9 3/4 in),
