Max. Equipment Designation,Best glide ratio,Cruising altitude,Fuel with max payload,"Ground clearance, fuselage","Height, alternate configuration","Height, fuselage","Height, overall",Landing run,"Length, alternate configuration","Length, fuselage",Max certified altitude,Max fuel weight,Max launch weight,Propeller diameter,T-O run,T-O speed,Tailplane span,Weapons bay volume,"Weight empty, equipped","Width, fuselage","Width, overall",Wing aspect ratio,g limits,Absolute ceiling [m],Service ceiling [m],Operating altitude [m],Cruising speed [m/s],Loitering speed [m/s],Max level speed [m/s],Max operating speed [m/s],Never-exceed speed [m/s],Stalling speed [m/s],Rate of climb [m/s],Endurance [h],Gross wing area [m2],Max T-O weight [kg],Max payload [kg],"Operating weight, empty [kg]",Payload with max fuel [kg],Weight empty [kg],"Length, overall [m]",Wing span [m],Radius of operation [km],Range [km]
IA-17,,,,,220 mm (8 3/4 in) (extended gasoline'/'extended electric' configurations) 250 mm (9 3/4 in) (basic' configuration),,,,1.15 m (3 ft 9 1/4 in) (basic' configuration) 1.27 m (4 ft 2 in) (IA-17 Manta 'extended gasoline'/'extended electric' configurations),,,,,,,,,,,,,,,,4500,,,,55.56,,,,,2.5,,7.5,1.0,,,5.0,,1.8,10.0,
K1000ULE,,,,,,,,,,,,,,,,,,,,,,,,,6095,,15.43,,,,,,,24.0,,19.3,2.49,,,,3.0,5.0,,1610.0
Kasper,,,,,,,300 mm (11 3/4 in) 300 mm (11 3/4 in),,,,,,,,,,,,,,,,,,3000,,,,33.34,,,,,2.0,,9.0,1.0,,,,1.0,2.2,25.0,
Leleka-100,,,,,,,352 mm (1 ft 1 3/4 in) 352 mm (1 ft 1 3/4 in),,,,,,,,,,,,,,,,,,,1500,16.67,,33.34,,,,,2.5,,6.0,,,,,1.135,1.98,180.0,15.0
MUAS,,,,,,,,,,,,,,,,,,,,,,,,,5000,,12.5,,30.56,,,,,0.5,,4.5,1.2,,,,1.3,1.8,,5.0
Manta,,,,,,,620 mm (2 ft 1/2 in) 620 mm (2 ft 1/2 in),,,,,,,,,,,13 l (0.46 cu ft),,,,,,,4875,,20.06,,56.59,,,18.01,,6.0,,27.0,6.8,,,,1.9,2.67,27.7,
Micro Falcon LE,,,,,,,,,,,,,,,,,,,,,,,,,4570,,18.01,,33.44,,,,,4.0,,10.0,2.0,,,,,2.0,,40.0
Micro Falcon LP,,,,,,,,,,,,,,,,,,,,,,,,,4570,,18.01,,33.44,,,,,2.0,,6.0,2.0,,,,,1.8,,40.0
Nimble Loong,,,,,,,,,,,,,,,,,,,,,,,,,3000,,41.67,,,,,,,4.0,,30.0,3.0,,,,,3.0,,
Nova F6500,,,,,,,,,,,,,,,,,,,,,,,,,3050,,15.64,,31.28,,,,,1.5,,6.8,,,,,1.7,2.74,,80.4
Orbiter 1,,,,,,,,,,,,,,,,,,,,,,,,,5485,,,,36.01,,,,,,,10.3,1.5,,,,1.0,2.2,,100.0
Orbiter 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,2.0,,,,1.2,3.0,,100.0
Orbiter 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.72,,,,,,,13.0,1.8,,,,0.9,3.0,,100.0
Orbiter 2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.72,,,,,,,13.0,1.8,,,,0.9,3.0,,100.0
Orbiter 4,,,,,,,,,,,,,,,,,,,,,,,,,5485,,,,36.01,,,,,,,10.3,5.5,,,,1.2,5.0,,100.0
Orlan-10,,,,,,,,,,,,,,,,,,,,,,,,,5000,,25.0,,41.67,,,,,10.0,,14.0,2.5,,,,1.8,3.1,98.2,
Orlan-10E,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,41.67,,,,,10.0,,18.0,3.0,,,,,,150.0,100.0
P550,,,,,,,600 mm (1 ft 11 1/2 in),,,,,,,,,,,,,,,,,,4267,,,,26.75,,,,,5.0,,24.9,6.8,,,,0.6,1.8,,40.0
Penguin B,,,,163 mm (6 1/2 in),,,900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,,,,,,,30 m (98.4 ft),,,,,290 mm (11 1/2 in),,,,,5000,,22.02,,36.01,,,13.02,,20.5,,21.5,10.0,,11.5,11.5,2.27,3.3,,
Penguin B VTOL,,,,,,,840 mm (2 ft 9 in) 840 mm (2 ft 9 in),,,,,,,,,,,,,,,,,,4000,,24.95,,,,,,,8.0,,30.0,7.2,,11.7,17.2,2.43,3.9,,
Penguin BE Electric,,,,,,,900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,,,,,,,30 m (98.4 ft),,,,,,,,,,6000,,22.02,,36.01,,,13.0,,1.83,,21.5,6.6,,,14.9,2.27,3.3,,
Penguin C,,,,,,200 mm (7 3/4 in),900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,,,,,,,,,,,,290 mm (11 1/2 in),,,,,5000,,22.12,,31.9,,,,,20.0,,23.0,3.2,,,10.0,2.3,3.0,,100.0
Penguin C Mk2,,,,,,200 mm (7 3/4 in),900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,,,,,,,,,,,,290 mm (11 1/2 in),,,,,4000,,20.58,,30.87,,,,,25.0,,25.0,,,,10.0,2.3,3.3,,180.0
Phoenix FW120,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1.5,,9.5,1.13,,,,0.23,3.8,,4.82
Pigeon VTOL,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,,31.95,,,,,2.0,,11.0,1.5,,,,1.15,1.9,,150.0
Puma AE,,,,,,,,,,,,,6.3 kg (14 lb) (Puma II AE),,,,,,,,,,,,3200,152,10.29,,23.15,20.58,,,,2.0,,5.9,,,,,1.4,2.8,,15.0
Punisher,,,,,,,,,,,,,,,,,,,,,,,,,,400,22.12,,,,55.56,,,1.5,,15.0,2.0,,,,,2.28,,44.4
RAM,,,,,,,,,,,,,,,,,,,,,,,,,,,19.45,,41.67,,,,,0.5,,8.0,4.0,,,,1.78,2.3,,30.0
Ranger,,,,,,,300 mm (11 3/4 in),,,,,,,,,,,,,,,,,,3000,,13.89,,,33.03,,11.32,,1.5,,7.0,2.8,,,,1.39,3.0,,400.0
Ranger VTOL,,,,,,,300 mm (11 3/4 in) 300 mm (11 3/4 in),,,1.39 m (4 ft 6 3/4 in),,,,,,,,,,,,,,,4000,,23.0,,,33.03,,16.98,,1.5,,14.0,1.0,,,,1.63,3.0,,400.0
Raybird-3,,,,,,,320 mm (1 ft 1/2 in) 320 mm (1 ft 1/2 in),,,,,,,,,,,,,,,,,4500,3500,,30.56,,38.89,,,22.22,,18.0,,23.0,5.0,,,11.0,1.83,2.96,100.0,2500.0
RemoEye-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.83,,,,,2.0,,6.5,,,,,1.72,2.72,,15.0
RemoEye-006A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.83,,,,,2.0,,6.5,,,,,1.72,2.72,,15.0
Rover Mk I,,,,,,,200 mm (7 3/4 in) 200 mm (7 3/4 in),,,,,,,,,,,,,,,,,,,,8.33,,27.78,,,,,0.75,,5.5,1.0,,,3.5,0.9,1.5,,12.0
Rover Mk II XS,,,,,,,300 mm (11 3/4 in),,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,6.5,1.0,,,,0.16,3.0,,15.0
SAT-i,,,,,,,530 mm (1 ft 8 3/4 in) 530 mm (1 ft 8 3/4 in),,,,,,,,,,,,,,,,,,9000,400,8.08,,13.89,,,,3.0,2.0,,6.3,,,,,3.2,7.3,250.0,
SPEAR,,,,,,,460 mm (1 ft 6 in) (excl propeller) 460 mm (1 ft 6 in) (excl propeller),,,,,,,,,,,,,,3.65 m (11 ft 11 3/4 in),,,,3050,1524,20.58,,25.72,,,10.08,,1.8,,17.24,4.54,,,3.6,1.94,3.66,,
SPECTATOR,,,,,,,,,,,,,,,,,,,,,,,,,2000,,11.11,,33.34,,,,,3.0,,7.0,1.5,,,,1.345,3.02,20.3,30.0
SPECTATOR-M1,,,,,,,,,,,,,,,,,,,,,,,,,2000,,11.11,,33.34,,,,,2.0,,7.0,1.5,,,,1.295,3.02,20.3,30.0
SQA,,,,,,,,,,,,,,,,,,,,,,,,,4000,,17.95,,23.97,,,,,3.0,,9.8,,,,,0.93,2.9,,40.0
STREAM C,,,,,,,,,,,,,,,,,,,,,,,,,3000,,22.22,,41.67,,,,,8.0,,20.0,,,6.0,10.0,2.3,3.9,,100.0
ScanEagle,,,,,,,,,,,,,,,,,,,,,,,,,5945,,30.87,,41.16,41.16,,,,18.0,,26.5,5.0,,,13.1,1.71,3.11,,100.0
ScanEagle 2,,,,,,,,,,,,,,,,,,,,,,,,,5950,,25.72,,41.16,,,,,16.0,,26.5,5.0,,,19.0,1.71,3.11,,
Shahzore,,,,,,,,,,,,,28.0 kg (62 lb),,,,,,,,,,,,,,,,76.14,,,,,1.5,,28.0,,,,,2.54,2.54,2.96,
Silent Falcon,,,,,,,,,,,,,,,,,,,,,,,,,,6095,8.9,10.29,31.12,,,,,3.0,,11.0,,,,,1.9,2.7,,15.0
Skiron-X,,,,,,,,,,,,,,,,,,,,,,,,,,,18.52,,,25.72,,,,0.42,,22.2,1.45,,,,2.2,5.0,,13.0
Skiron-XLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,24.5,1.45,,,,2.2,5.0,,75.0
Skylark C,,,,,,,,,,,,,,,,,,,,,3.8 m (12 ft 5 1/2 in) 3.8 m (12 ft 5 1/2 in),,,,4570,,,,,,,,,5.0,,15.0,,,,,,,,40.0
Skylark I-LEX,,,,,,,,,,,,,,,,,,,,,,,,,4570,,,,,,,,,3.0,,7.5,1.2,,,,,3.0,,40.0
Skyzer 450,,,,,,,,,,,,,,,50 m (164 ft),,,,,,,,,,,,22.12,,36.01,,,12.86,,7.0,,21.0,5.0,,,9.0,2.27,3.3,,
Spirit,,,,,,,260 mm (10 1/4 in) 260 mm (10 1/4 in),,,,,,,,,,,,,,,,,,,,8.33,,27.78,,,,,1.0,,5.5,1.0,,,3.0,1.61,2.58,,10.6
SpyLite,,,,,,,,,,,,,,,,,,,,,,,,,9145,1000,,16.67,33.34,,,,,3.0,,9.5,1.5,,,,1.35,2.75,,50.0
Spy’Ranger 330,,,,,,,,,,,,,,,,,,,,,,,,,,1000,18.06,,25.0,,,,,3.0,,15.0,1.2,,,,,3.8,,15.0
Stalker VXE Block 30,,,,,,,,,,,,,20 kg (44 lb) (with fuel cell),,,,,,,,,,,,6,4,15.95,,,,25.72,,,4.0,,21.8,,,,,2.59,4.87,222.0,161.0
Super Bat,,,,,,,700 mm (2 ft 3 1/2 in),,,,,,,,,,,,,,,,,,4570,,18.01,,33.44,,,,,10.0,,21.3,2.3,,,,1.6,2.6,,32.2
Super Salaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,,,,,1.5,,8.0,,,,,1.5,2.5,,14.8
Supercam S-300M,,,,,,,,,,,,,,,,,,,,,,,,,6000,5000,18.06,,33.34,,,,,3.5,,10.5,,,,,,3.0,,50.0
Supercam S250,,,,,,,,,,,,,,,,,,,,,,,,,5000,5000,18.01,,33.44,,,,,3.0,,9.5,,,,,,2.5,150.0,25.0
Supercam S350,,,,,,,,,,,,,,,,,,,,,,,,,5000,5000,18.06,,33.34,,,,,4.5,,15.0,2.0,,,,,3.2,240.0,100.0
Supercam S450,,,,,,,,,,,,,,,,,,,,,,,,,5000,3600,18.01,,33.44,,,,,8.0,,29.0,,,,,,4.5,,80.0
Surveyor,,,,,,,440 mm (1 ft 5 1/4 in) 440 mm (1 ft 5 1/4 in),,,,,,,,,,,,,,,,,,,1000,16.46,,27.78,,,,,1.5,,6.0,,,,,0.84,2.44,2.96,
Swan III,,,,,,,360 mm (1 ft 2 1/4 in),,,1.33 m (4 ft 4 1/4 in),,,,,,,690 mm (2 ft 3 1/4 in) 690 mm (2 ft 3 1/4 in),,,160 mm (6 1/4 in),,,,,,2500,27.78,,36.11,,,,,6.0,,15.0,,,,,1.96,3.08,,150.0
T-15,,,,,,,,,,,,,,,,,,,,,,,,,,,25.72,,46.3,,,,,12.0,,20.0,4.5,,,9.1,1.83,3.05,,
T-Hawk,,,,,,,559 mm (1 ft 10 in) (without pods) 559 mm (1 ft 10 in) (without pods) 597 mm (1 ft 11 1/2 in) (with pods) 597 mm (1 ft 11 1/2 in) (with pods),,,,,,,330 mm (1 ft 1 in),,"15 kt (27.8 km/h, 17.3 mph) (take-off/landing at 38°C and at S/L)",,,,,,,,,3000,0,10.29,,20.58,,,,7.62,0.67,,9.1,,,,2.3,,,10.0,
Tahion,,,,,,,,,,,,,,,,,,,,,,,,,,4000,21.09,,27.78,,,18.06,,2.0,,17.42,1.0,,,,0.61,1.8,,40.0
Talash 1,,,,,,,,,,,,,,,,,,,,,,,,,2745,,,,24.69,,,,,0.5,,12.0,,,,,1.7,2.64,,
Talash 2,,,,,,,,,,,,,,,,,,,,,,,,,2745,,,,33.44,,,,,0.5,,11.0,,,,,1.9,2.1,,
Talon 120,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1.5,,7.3,1.1,,,,1.83,3.81,,12.8
Tarsis 25,,,,,,,890 mm (2 ft 11 in) 890 mm (2 ft 11 in),,,,,,,,,,,,,,,,,,4000,,27.78,,,,,,,8.0,,25.0,5.0,,,,2.5,4.0,,40.7
The Miss Traktor,,,,,,,780 mm (2 ft 6 3/4 in) 780 mm (2 ft 6 3/4 in),,11 m (36 ft 1 in) (with sleeve (with flare)),,,,,,,,,,,,,,,,2000,,30.35,10.55,,,,,,1.0,,14.5,,,,,1.9,2.84,,4.99
Tracker 120,,,,,,,,,,,,,,,,,,,,,,,,,2500,100,16.93,,,27.78,,,,1.5,,8.7,1.1,,,,1.54,3.3,,25.0
Trinity F90+,,,,,,,,,,,,,,,,,,,,,,,,,4500,,16.98,,,,,,,1.0,,5.0,,,,,1.48,2.394,,7.41
Trinity Pro,,,,,,,,,,,,,,,,,,,,,,,,,5500,,16.98,,,,,,,1.0,,5.75,1.0,,,,1.48,2.394,100.0,7.41
Trinity Tactical,,,,,,,,,,,,,,,,,,,,,,,,,5500,,16.98,,,,,,,1.0,,5.75,,,,,1.48,2.394,100.0,7.41
Tron F90+,,,,,,,,,,,,,,,,,,,,,,,,,,,18.01,,,,,,,1.0,,13.5,2.0,,,,,3.5,,100.0
Tucan,,,,,,,,,,,,,,,,,,,,,,,,,1500,,19.45,,79.22,,,,,1.5,,5.0,,,,,1.44,2.74,,25.0
UA-GAMMA,,,,,,,,,,,,,,,,,,,,,,,,,3000,1000,19.55,,44.24,,,,,6.0,,16.0,6.0,,,,1.8,2.98,,79.6
Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,20.06,,,,,,,3.0,,8.5,,,,,1.63,2.8,,35.0
Veloce 15,,,,,,,,,,,,,,,,,,,,,,,,,,610,,,,20.58,,,,3.0,,17.0,,,,,,3.7,,14.8
Vrabac,,,,,,,,,,,,,,,,,,,,,,,,,,300,16.93,15.28,33.34,,,9.72,2.5,1.0,,9.0,1.5,,,5.5,1.94,2.8,10.0,
WARMATE,,,,,,,,,,,,,,,,,,,,,,,,,,100,13.89,,41.67,,,,,0.83,,5.3,1.4,,,,1.17,1.59,12.0,
X-Chimera,,,,,,,660 mm (2 ft 2 in) 660 mm (2 ft 2 in),,,,,,,,,,,,,,4.5 m (14 ft 9 1/4 in) 4.5 m (14 ft 9 1/4 in),,,,6000,4500,23.0,,,,,,,2.0,,25.0,6.0,,,,1.63,,,50.0
XC-25,,,,,,,660 mm (2 ft 2 in) 660 mm (2 ft 2 in),,,,,,,,,,,,,,4.5 m (14 ft 9 1/4 in) 4.5 m (14 ft 9 1/4 in),,,,6000,4500,23.0,,,,,,,6.0,,25.0,6.0,,,,1.63,,,50.0
Zonda,,,,,,,350 mm (1 ft 1 3/4 in) (provisional figure) 350 mm (1 ft 1 3/4 in) (provisional figure),,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,15.0,3.0,,,,1.2,2.8,,30.0
Zonda IIE,,,,,,,470 mm (1 ft 6 1/2 in) 470 mm (1 ft 6 1/2 in),,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,15.0,3.0,,,,1.7,2.8,,30.0
Zygo,,,,,,,400 mm (1 ft 3 3/4 in) 400 mm (1 ft 3 3/4 in),,,,,,,,,,,,,,,,,,4500,60,,13.89,27.78,,,,,2.0,,7.0,2.5,,,,1.94,3.0,,40.0
